Album Name,Artist Name,Downloads,Rating,Sales
Mugur de fluier,Phoenix,"1,234",4.5,123
Mugur de fluier,Phoenix,"1,234",4.5,123
Mugur de fluier,Phoenix,"1,234",4.5,123
Mugur de fluier,Phoenix,"1,234",4.5,123
Mugur de fluier,Phoenix,"1,234",4.5,123
Mugur de fluier,Phoenix,"1,234",4.5,123
Mugur de fluier,Phoenix,"1,234",4.5,123
Mugur de fluier,Phoenix,"1,234",4.5,123
Mugur de fluier,Phoenix,"1,234",4.5,123
Mugur de fluier,Phoenix,"1,234",4.5,123
Mugur de fluier,Phoenix,"1,234",4.5,123
Kid A,Radiohead,"1,000",3.4,200
Kid A,Radiohead,"1,000",3.4,200
Kid A,Radiohead,"1,000",3.4,200
Kid A,Radiohead,"1,000",3.4,200
Kid A,Radiohead,"1,000",3.4,200
Kid A,Radiohead,"1,000",3.4,200
Kid A,Radiohead,"1,000",3.4,200
Kid A,Radiohead,"1,000",3.4,200
Kid A,Radiohead,"1,000",3.4,200
Kid A,Radiohead,"1,000",3.4,200
Kid A,Radiohead,"1,000",3.4,200
